chulNo,hrSex,hrAge,hrWeight,hrWeightVariation,rcType,rcClass,rcDist,rcHrUnit,chaksunT,chaksunY,chaksun_6m,hrOrd1CntT,hrOrd1CntY,hrOrd2CntT,hrOrd2CntY,hrRcCntT,hrRcCntY,hrWgBudam,track,weather,meanTemperature ,minimumTemperature,miTime,maximumTemperature ,maxTime,dailyPrecipitation,maxWindspeed,meanWindspeed,maxWindspeedDirection,jkAge,jkWgOther,jkWgPart,jkRcCntT,jkOrd1CntT,jkOrd2CntT,jkRcCntY,jkOrd1CntY,jkOrd2CntY,trAge,trRcCntT,trOrd1CntT,trOrd2CntT,trRcCntY,trOrd1CntY,trOrd2CntY,rcResult
1,mare,2,461,2,general,KG6,1000,8,0,0,0,0,0,0,0,1,1,52,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,49,305,28,21,187,16,13,pass
2,stallion,2,448,-3,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,59,"7,861",689,697,176,6,8,fail
3,mare,2,441,-7,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2333,164,195,178,17,18,58,"6,986",643,710,242,26,27,fail
4,mare,2,445,0,general,KG6,1000,8,0,0,0,0,0,0,0,2,2,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,53,"3,232",263,280,167,23,17,pass
5,stallion,2,529,-21,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,50,"2,010",149,139,140,5,4,fail
6,stallion,2,467,0,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,53,53,5337,652,612,387,53,53,56,"10,121",785,902,368,10,21,pass
7,mare,2,471,8,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2243,136,152,191,9,10,48,"2,541",206,210,266,17,17,fail
8,stallion,2,460,0,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,52,52,7128,509,580,415,19,16,39,414,30,32,221,22,20,fail
1,gelding,3,463,14,general,KG6,1200,12,0,0,0,0,0,0,0,2,2,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,37,53,53,1994,119,127,95,2,2,52,"2,163",194,173,224,13,13,fail
2,stallion,2,453,-1,general,KG6,1200,12,0,0,0,0,0,0,0,2,2,50,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,50,50,37,1,1,37,1,1,52,"1,732",178,138,287,26,23,fail
3,stallion,3,488,6,general,KG6,1200,12,6500000,6500000,6500000,0,0,0,0,7,7,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,54,"4,258",355,380,278,13,16,pass
4,stallion,3,471,0,general,KG6,1200,12,5300000,5300000,3500000,0,0,0,0,12,12,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2243,136,152,191,9,10,56,"3,265",250,259,358,15,17,fail
5,stallion,2,453,16,general,KG6,1200,12,5250000,5250000,5250000,0,0,1,1,2,2,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,53,"3,232",263,280,167,23,17,pass
6,mare,3,483,-1,general,KG6,1200,12,0,0,0,0,0,0,0,7,7,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,38,555,29,33,251,14,14,fail
7,gelding,3,446,0,general,KG6,1200,12,4500000,4500000,4500000,0,0,0,0,6,6,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,54,"3,573",313,333,270,21,20,fail
