"from","to","relationship","rel2"
"BYJ(98)","BHJ(99)",0,0
"BYJ(98)","CSH(93)",0,0
"BYJ(98)","EDH(95)",0,0
"BYJ(98)","HHM(95)",0,0
"BYJ(98)","HWM(95)",0,0
"BYJ(98)","JCG(98)",0,0
"BYJ(98)","JDH(94)",0,0
"BYJ(98)","JEJ(95)",0,0
"BYJ(98)","JHJ(99)",0,0
"BYJ(98)","JYG(96)",0,0
"BYJ(98)","JYJ(94)",0,0
"BYJ(98)","JYJ(95)",0,0
"BYJ(98)","KDK(99)",0,0
"BYJ(98)","KGP(94)",0,0
"BYJ(98)","KHJ(98)",0,0
"BYJ(98)","KHS(98)",0,0
"BYJ(98)","KJH(96)",0,0
"BYJ(98)","KJH(99)",0,0
"BYJ(98)","KMS(99)",0,0
"BYJ(98)","KSH(99)",0,0
"BYJ(98)","KSJ(94)",0,0
"BYJ(98)","LGC(94)",0,0
"BYJ(98)","LGS(99)",0,0
"BYJ(98)","LJH(94)",0,0
"BYJ(98)","PJY(95)",0,0
"BYJ(98)","PKT(95)",0,0
"BYJ(98)","RSW(96)",0,0
"BYJ(98)","RSW(98)",0,0
"BYJ(98)","SHS(98)",0,0
"BYJ(98)","SJE(99)",0,0
"BYJ(98)","SJY(98)",0,0
"BYJ(98)","SSH(96)",0,0
"BYJ(98)","SYS(99)",0,0
"BYJ(98)","UDH(95)",0,0
"BYJ(98)","YHW(98)",0,0
"BYJ(98)","YJE(97)",0,0
"BYJ(98)","YJW(99)",0,0
"BYJ(98)","YSH(99)",0,0
"BYJ(98)","YSHH(99)",0,0
"BYJ(98)","KES(94)",0,0
"BYJ(98)","KSY(98)",0,0
"BYJ(98)","KSH(98)",0,0
"BYJ(98)","KYH(94)",0,0
"BYJ(98)","KYS(99)",0,0
"BYJ(98)","KKH(99)",0,0
"BYJ(98)","KKH(95)",0,0
"BYJ(98)","KKB(93)",0,0
"BYJ(98)","KDY(98)",0,0
"BYJ(98)","KDH(97)",0,0
"BYJ(98)","KDG(99)",0,0
"BYJ(98)","KMG(94)",0,0
"BYJ(98)","KMT(99)",0,0
"BYJ(98)","KSJ(99)",0,0
"BYJ(98)","KSY(98)",0,0
"BYJ(98)","KSY(96)",0,0
"BYJ(98)","KSJ(93)",0,0
"BYJ(98)","KSH(99)",0,0
"BYJ(98)","KYB(99)",0,0
"BYJ(98)","KJH(98)",0,0
"BYJ(98)","KJB(93)",0,0
"BYJ(98)","KJS(92)",0,0
"BYJ(98)","KJH(98)",0,0
"BYJ(98)","KJSS(92)",0,0
"BYJ(98)","KPU(98)",0,0
"BYJ(98)","KHN(94)",0,0
"BYJ(98)","KHJ(94)",0,0
"BYJ(98)","NMR(97)",0,0
"BYJ(98)","NSJ(99)",0,0
"BYJ(98)","MJU(99)",0,0
"BYJ(98)","MSJ(93)",0,0
"BYJ(98)","PSU(93)",0,0
"BYJ(98)","PSJ(95)",0,0
"BYJ(98)","PSO(94)",0,0
"BYJ(98)","PYJ(97)",3,1
"BYJ(98)","POG(93)",0,0
"BYJ(98)","PEB(95)",0,0
"BYJ(98)","PJM(94)",0,0
"BYJ(98)","PHY(99)",0,0
"BYJ(98)","PHJ(99)",0,0
"BYJ(98)","BYJ(99)",0,0
"BYJ(98)","BOG(98)",0,0
"BYJ(98)","SSM(98)",0,0
"BYJ(98)","SHS(99)",2,1
"BYJ(98)","SDS(92)",0,0
"BYJ(98)","SSY(97)",0,0
"BYJ(98)","SJEE(99)",0,0
"BYJ(98)","SH(96)",0,0
"BYJ(98)","SYJ(97)",0,0
"BYJ(98)","AMJ(99)",0,0
"BYJ(98)","ASH(99)",0,0
"BYJ(98)","OSJ(98)",0,0
"BYJ(98)","OSH(99)",0,0
"BYJ(98)","OSM(98)",0,0
"BYJ(98)","OJY(98)",0,0
"BYJ(98)","OSJ(97)",0,0
"BYJ(98)","YMS(99)",0,0
"BYJ(98)","YYH(93)",0,0
"BYJ(98)","YHJ(96)",0,0
"BYJ(98)","YSH(99)",0,0
"BYJ(98)","YAR(97)",0,0
"BYJ(98)","LKC(93)",0,0
"BYJ(98)","LDY(99)",0,0
"BYJ(98)","LDJ(93)",0,0
"BYJ(98)","LSH(99)",0,0
"BYJ(98)","LSJ(94)",0,0
"BYJ(98)","LYJ(98)",0,0
"BYJ(98)","LWH(98)",0,0
"BYJ(98)","LYS(97)",0,0
"BYJ(98)","LIH(94)",0,0
"BYJ(98)","LJH(97)",0,0
"BYJ(98)","LJM(98)",1,1
"BYJ(98)","LJY(97)",0,0
"BYJ(98)","LJA(00)",0,0
"BYJ(98)","LCH(95)",0,0
"BYJ(98)","LHW(92)",0,0
"BYJ(98)","LHH(93)",0,0
"BYJ(98)","JMK(98)",0,0
"BYJ(98)","JSH(94)",0,0
"BYJ(98)","JJH(92)",0,0
"BYJ(98)","JYW(94)",0,0
"BYJ(98)","JYK(93)",0,0
"BYJ(98)","JYL(98)",0,0
"BYJ(98)","JJY(92)",0,0
"BYJ(98)","JJK(98)",0,0
"BYJ(98)","JMY(98)",0,0
"BYJ(98)","JYN(96)",0,0
"BYJ(98)","JYW(92)",0,0
"BYJ(98)","JSM(98)",0,0
"BYJ(98)","CNG(99)",0,0
"BYJ(98)","CSB(98)",0,0
"BYJ(98)","CJI(94)",0,0
"BYJ(98)","HEG(97)",0,0
"CNG(99)","BHJ(99)",0,0
"CNG(99)","CSH(93)",0,0
"CNG(99)","EDH(95)",0,0
"CNG(99)","HHM(95)",0,0
"CNG(99)","HWM(95)",0,0
"CNG(99)","JCG(98)",0,0
"CNG(99)","JDH(94)",0,0
"CNG(99)","JEJ(95)",0,0
"CNG(99)","JHJ(99)",0,0
"CNG(99)","JYG(96)",0,0
"CNG(99)","JYJ(94)",0,0
"CNG(99)","JYJ(95)",0,0
"CNG(99)","KDK(99)",0,0
"CNG(99)","KGP(94)",0,0
"CNG(99)","KHJ(98)",0,0
"CNG(99)","KHS(98)",0,0
"CNG(99)","KJH(96)",0,0
